infraction_description,set_fine_amount,location2
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,60 ESTHER LORRIE DR
PARK IN A FIRE ROUTE,250,10 WILLOWRIDGE RD
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,320 DIXON RD
PARK IN A FIRE ROUTE,250,380 DIXON RD
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,380 MILNER AVE
PARK IN A FIRE ROUTE,250,50 SILVER SHADOW PATH
PARK IN A FIRE ROUTE,250,200 BRENYON WAY
PARK IN A FIRE ROUTE,250,10 EMPRINGHAM DR
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,6030 BATHURST ST
PARK IN A FIRE ROUTE,250,6030 BATHURST ST
PARK IN A FIRE ROUTE,250,160 CHALKFARM DR
PARK IN A FIRE ROUTE,250,1340 DANFORTH RD
PARK IN A FIRE ROUTE,250,900 QUEENS PLATE DRIVE
PARK IN A FIRE ROUTE,250,2835 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,1181 QUEEN ST W
PARK IN A FIRE ROUTE,250,2858 JANE STREET
PARK IN A FIRE ROUTE,250,4801 KEELE ST
PARK IN A FIRE ROUTE,250,2561 ST CLAIR AVE W
PARK IN A FIRE ROUTE,250,35 VALLEY WOODS RD
PARK IN A FIRE ROUTE,250,4700 KEELE ST
PARK IN A FIRE ROUTE,250,16 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,78 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,100 UPPER MADISON AVE
PARK IN A FIRE ROUTE,250,1235 WILSON AVE
PARK IN A FIRE ROUTE,250,25 GREENVIEW AVE
PARK IN A FIRE ROUTE,250,1600 SANDHURST CRCL
PARK IN A FIRE ROUTE,250,1600 SANDHURST CRCL
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,90 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,2575 DANFORTH AVE
PARK IN A FIRE ROUTE,250,2335 LAKE SHORE BLVD W
PARK IN A FIRE ROUTE,250,2575 DANFORTH AVE
PARK IN A FIRE ROUTE,250,90 CORDOVA AVE
PARK IN A FIRE ROUTE,250,30 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,200 BRENYON WAY
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,90 EMPRINGHAM DR
PARK IN A FIRE ROUTE,250,60 CALLOWHILL DR
PARK IN A FIRE ROUTE,250,60 CALLOWHILL DR
PARK IN A FIRE ROUTE,250,2835 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2067 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2067 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2067 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,300 INVERGORDON AVE
PARK IN A FIRE ROUTE,250,605 FINCH AVE W
PARK IN A FIRE ROUTE,250,5 BROCKLEY DR
PARK IN A FIRE ROUTE,250,1901 MARTIN GROVE ROAD
PARK IN A FIRE ROUTE,250,370 HOPEWELL AVE
PARK IN A FIRE ROUTE,250,710 TRETHEWEY DR
PARK IN A FIRE ROUTE,250,710 TRETHEWEY DR
PARK IN A FIRE ROUTE,250,710 TRETHEWEY DR
PARK IN A FIRE ROUTE,250,10 VENA WAY
PARK IN A FIRE ROUTE,250,10 VENA WAY
PARK IN A FIRE ROUTE,250,10 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,2085 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,4700 KEELE ST
PARK IN A FIRE ROUTE,250,58 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,58 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,71 THORNCLIFFE PARK DR
PARK IN A FIRE ROUTE,250,2 VENA WAY
PARK IN A FIRE ROUTE,250,1169 QUEEN ST W
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,28 BONIS AVE
PARK IN A FIRE ROUTE,250,30 BONIS AVE
PARK IN A FIRE ROUTE,250,1090 DON MILLS RD
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,22 TANDRIDGE CRES
PARK IN A FIRE ROUTE,250,53 FLAX GARDENWAY
PARK IN A FIRE ROUTE,250,25 GOSFORD BLVD
PARK IN A FIRE ROUTE,250,25 GOSFORD BLVD
PARK IN A FIRE ROUTE,250,90 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,90 YORK GATE BLVD
PARK IN A FIRE ROUTE,250,2 VENA WAY
PARK IN A FIRE ROUTE,250,2 VENA WAY
PARK IN A FIRE ROUTE,250,2 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,3041 FINCH AVE W
PARK IN A FIRE ROUTE,250,2825 ISLINGTON AVE
PARK IN A FIRE ROUTE,250,2575 DANFORTH AVE
PARK IN A FIRE ROUTE,250,1251 BRIDLETOWNE CRCL
PARK IN A FIRE ROUTE,250,1135 WILSON AVE
PARK IN A FIRE ROUTE,250,21 HILLCREST AVE
PARK IN A FIRE ROUTE,250,21 HILLCREST AVE
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,43 RED CEDARWAY
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,2775 JANE ST
PARK IN A FIRE ROUTE,250,90 WINGARDEN CRT
PARK IN A FIRE ROUTE,250,2775 JANE ST
PARK IN A FIRE ROUTE,250,2775 JANE ST
PARK IN A FIRE ROUTE,250,2775 JANE ST
PARK IN A FIRE ROUTE,250,2775 JANE ST
PARK IN A FIRE ROUTE,250,462 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,220 BRENYON WAY
PARK IN A FIRE ROUTE,250,220 BRENYON WAY
PARK IN A FIRE ROUTE,250,220 BRENYON WAY
PARK IN A FIRE ROUTE,250,2 VENA WAY
PARK IN A FIRE ROUTE,250,6 VENA WAY
PARK IN A FIRE ROUTE,250,40 PANORAMA CT
PARK IN A FIRE ROUTE,250,35 CANYON AVE
PARK IN A FIRE ROUTE,250,4415 BATHURST ST
PARK IN A FIRE ROUTE,250,4415 BATHURST ST
PARK IN A FIRE ROUTE,250,4685 SHEPPARD AVE E
PARK IN A FIRE ROUTE,250,1350 DANFORTH AVE
PARK IN A FIRE ROUTE,250,1350 DANFORTH AVE
