infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,4700 JANE ST
PARK ON PRIVATE PROPERTY,30,1700 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,14 YORK ST
PARK ON PRIVATE PROPERTY,30,11753 SHEPPARD AVE E
PARK ON PRIVATE PROPERTY,30,17 ANNDALE DR
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,12 YORK ST
PARK ON PRIVATE PROPERTY,30,2 EVA RD
PARK ON PRIVATE PROPERTY,30,14 YORK ST
PARK ON PRIVATE PROPERTY,30,2645 JANE ST
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,55 HUNTINGDALE BLVD
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,2121 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N
PARK ON PRIVATE PROPERTY,30,20 BLUE JAYS WAY
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,20 BLUE JAYS WAY
